endereço,bairros,área m²,quartos,garagem,tipo,aluguel,total,bairros_original,id_distrito
Rua Carlos Dias Fernandes,brasilandia,55,2,0,Casa,1000,1082,Brasilândia,1022
Rua Isidoro de Sevilha,vila cleonice,190,3,0,Casa,3000,3050,Vila Cleonice,1025
Rua Maestro João de Souza Lima,jardim libano,135,3,2,Casa,3200,3543,Jardim Líbano,1075
Rua Leôncio de Carvalho,paraiso,73,2,0,Apartamento,3500,4098,Paraíso,1410
Rua Martiniano de Carvalho,bela vista,49,1,0,Apartamento,1500,1883,Bela Vista,1410
Rua Doutor Ângelo Vita,tatuape,32,1,0,Studio e kitnet,1990,2581,Tatuapé,1078
Rua Arnaldo Pedroso D'horta,vila elze,125,3,1,Casa,1700,1803,Vila Elze,1022
Rua Genebra,bela vista,38,1,0,Studio e kitnet,1280,1745,Bela Vista,1410
Rua Glicério,liberdade,45,2,1,Studio e kitnet,2183,2896,Liberdade,1410
Rua da Gávea,vila maria,150,4,2,Casa,4500,4742,Vila Maria,1252
Rua Anísio Moreira,parque peruche,50,2,0,Casa em condomínio,2350,2549,Parque Peruche,1259
Rua Cayowaá,perdizes,70,2,1,Apartamento,3500,4702,Perdizes,1151
Rua Pedro Osório Filho,vila nova cachoeirinha,40,2,0,Casa,1500,1730,Vila Nova Cachoeirinha,943
Rua Capitão Lorena,vila invernada,45,2,0,Apartamento,1700,2108,Vila Invernada,987
Rua João Rudge,casa verde,100,3,0,Casa,2000,2285,Casa Verde,1259
Rua Cajaíba,vila pompeia,60,1,0,Apartamento,2009,2447,Vila Pompéia,1151
Avenida Álvaro Ramos,belenzinho,24,1,0,Studio e kitnet,1700,2378,Belenzinho,925
Rua Doutor Diogo de Faria,vila clementino,32,1,0,Studio e kitnet,3000,3630,Vila Clementino,1255
Praça Júlio Mesquita,santa efigenia,42,1,0,Apartamento,3138,3919,Santa Efigênia,1143
Rua Lima,chacara belenzinho,152,2,2,Casa,2250,2346,Chácara Belenzinho,925
Av. São João,centro,29,1,0,Studio e kitnet,1300,1470,Centro,1410
Rua Astrolábio,vila do encontro,150,2,1,Casa,1554,1620,Vila do Encontro,1073
Avenida Raimundo Pereira de Magalhães,jardim iris,46,2,1,Apartamento,1700,2055,Jardim Íris,919
Rua Doutor Almeida Nogueira,penha de franca,50,1,0,Casa em condomínio,1700,1865,Penha de França,1275
Rua Conde de Irajá,vila mariana,68,1,0,Apartamento,2200,2648,Vila Mariana,1072
Avenida Thomas Edison,barra funda,31,1,0,Apartamento,1423,1872,Barra Funda,1143
Rua Francisco Pessoa,vila andrade,55,2,1,Apartamento,2600,3430,Vila Andrade,917
Rua Dr Moraes Dantas,vila barbosa,35,2,1,Apartamento,1550,1899,Vila Barbosa,1259
Rua Cunha Gago,pinheiros,80,1,0,Apartamento,3063,3991,Pinheiros,1257
Rua Itanhomi,vila formosa,42,2,0,Apartamento,1300,1584,Vila Formosa,986
Rua Alto Taquari,jardim vista linda,120,3,2,Casa,2500,2606,Jardim Vista Linda,1022
Rua Severino Cardoso da Silva,parque cruzeiro do sul,31,1,0,Apartamento,1100,1292,Parque Cruzeiro do Sul (vila Formosa),965
Rua da Economia,vila nova savoia,38,1,0,Casa,1000,1276,Vila Nova Savoia,963
Rua Chico Pontes,vila guilherme,119,3,1,Casa,2500,2776,Vila Guilherme,915
Rua José Conhago Pomare,vila guaca,127,3,2,Casa,3200,3405,Vila Guaca,1069
Rua Claudionor Barbieri,vila isolina mazzei,55,2,1,Apartamento,1800,1869,Vila Isolina Mazzei,1069
Rua José Justino Pereira,agua fria,183,4,4,Casa,5000,5512,Água Fria,1154
Rua Sargento José Spessoto,vila mariana,60,1,0,Casa,2100,2440,Vila Mariana,1072
Rua Martim Burchard,bras,53,2,0,Apartamento,1977,2454,Brás,934
Rua Evans,vila esperanca,40,1,0,Apartamento,1600,1812,Vila Esperança,1275
"R. Evans, São Paulo - Sp, 03648-020, Brasil",vila matilde,40,1,0,Apartamento,1600,1812,Vila Matilde,1153
Rua Romão Freire,vila nilo,120,2,0,Casa,2040,2126,Vila Nilo,942
Rua José Antônio Coelho,vila mariana,31,1,0,Apartamento,2800,2908,Vila Mariana,1072
Rua Loefgreen,vila clementino,140,2,4,Casa,4000,4504,Vila Clementino,1255
Rua Maria do Carmo,vila alpina,40,2,1,Apartamento,1450,1834,Vila Alpina,988
Rua Estado de Israel,vila clementino,46,1,1,Apartamento,4300,5235,Vila Clementino,1255
Rua Nelson Gama de Oliveira,vila andrade,55,1,1,Apartamento,2450,3145,Vila Andrade,917
Rua Joaquim Antunes,pinheiros,93,2,0,Apartamento,4220,5194,Pinheiros,1257
Rua Ana Soares Barcelos,vila venditti,50,2,1,Apartamento,2000,2407,Vila Venditti,1275
Alameda Glete,campos eliseos,83,2,0,Apartamento,1940,2495,Campos Elíseos,1143
Rua Mestre João,jardim vila formosa,125,2,1,Casa,3000,3127,Jardim Vila Formosa,986
Rua Valson Lopes,vila butanta,38,2,0,Apartamento,3000,3435,Vila Butantã,993
Avenida Nove de Julho,bela vista,68,2,0,Apartamento,2000,2532,Bela Vista,1410
Rua Marret,vila progresso,160,3,3,Casa,2500,2690,Vila Progresso,1076
Rua Comendador Yamamoto,jardim trussardi,35,1,1,Casa,1500,1671,Jardim Trussardi,993
Rua Doutor Luís Carlos,vila aricanduva,30,1,0,Apartamento,1250,1333,Vila Aricanduva,1077
Rua José de Oliveira Coelho,vila andrade,51,2,1,Apartamento,3000,3497,Vila Andrade,917
Rua Itanhaém,vila prudente,190,3,1,Casa,5300,5775,Vila Prudente,988
Rua dos Andradas,santa efigenia,51,1,0,Apartamento,1000,1615,Santa Efigênia,1143
Rua Valson Lopes,vila butanta,38,2,1,Apartamento,3000,3435,Vila Butantã,993
Rua Nelson Gama de Oliveira,vila andrade,80,2,1,Apartamento,3200,4195,Vila Andrade,917
Rua Murutinga do Sul,chacara santo antonio,90,3,1,Apartamento,2500,3428,Chácara Santo Antônio (zona Leste),1265
Rua Gregório de Morais Rego,jardim consorcio,30,1,0,Casa,1100,1213,Jardim Consorcio,1268
Rua Lácio,vila formosa,42,1,0,Casa em condomínio,2200,2373,Vila Formosa,986
Rua Henrique Mazzei,vila isolina mazzei,85,3,2,Casa em condomínio,2900,3387,Vila Isolina Mazzei,1069
Rua Ituri,vila formosa,26,1,0,Apartamento,1150,1466,Vila Formosa,986
Rua Consolação,consolacao,34,1,1,Studio e kitnet,3114,3830,Consolação,1067
Rua Jota Carlos,jardim brasil,35,1,0,Casa,808,842,Jardim Brasil (zona Norte),1069
Rua Mamud Rahd,tremembe,40,1,0,Apartamento,1280,1390,Tremembé,942
Rua Anacleto,vila isolina mazzei,40,2,0,Apartamento,1500,1722,Vila Isolina Mazzei,1069
Rua Freire Farto,jabaquara,104,2,2,Casa,3200,3577,Jabaquara,1073
Alameda Eduardo Prado,campos eliseos,32,1,1,Apartamento,1428,1952,Campos Elíseos,1143
Rua Antônio Sampaio Ferraz,cidade patriarca,43,1,0,Casa,812,906,Cidade Patriarca,1153
Rua Coelho Barradas,parque da vila prudente,41,2,1,Apartamento,2500,3246,Parque da Vila Prudente,988
Santo Egídio,santa teresinha,44,2,1,Apartamento,1350,2019,Santa Teresinha,1154
Rua Júlia della Casa Paula,vila mariana,100,2,1,Casa em condomínio,5500,5852,Vila Mariana,1072
Rua Rosália de Castro,vila campestre,109,2,2,Casa,1900,1981,Vila Campestre,1073
Rua do Manifesto,ipiranga,67,2,2,Apartamento,2800,3756,Ipiranga,1254
Rua Evans,vila matilde,50,2,0,Apartamento,1800,2049,Vila Matilde,1153
Rua Juçara,bosque da saude,120,2,1,Casa,3366,3609,Bosque da Saúde,1072
Rua Alexandre Leví,cambuci,49,2,1,Apartamento,2040,2624,Cambuci,983
Avenida Benigno Carrera,vila campestre,35,1,0,Casa em condomínio,843,930,Vila Campestre,1073
Rua dos Povoadores,vila antonina,30,1,0,Apartamento,1500,1608,Vila Antonina,1077
Rua Domingos de Morais,vila mariana,25,1,0,Studio e kitnet,1650,1913,Vila Mariana,1072
Rua Adolfino de Arruda Castanho,vila dinorah,80,2,2,Casa,2517,2694,Vila Dinorah,1075
Rua Marquês de Lages,vila das merces,72,3,1,Apartamento,1600,2425,Vila das Mercês,1148
Rua Mussa Kuraien,parque mandaqui,92,3,1,Apartamento,2000,2293,Parque Mandaqui,1154
Rua Cunha Horta,consolacao,30,1,0,Apartamento,1600,1695,Consolação,1067
Rua Domingos Antonio Ciccone,vila sao francisco,245,3,2,Casa,5000,5523,Vila Sao Francisco (zona Sul),993
Rua Guilherme Asbahr Neto,chacara monte alegre,120,2,1,Casa,4500,4816,Chácara Monte Alegre,1265
Rua José Jardim da Silveira,jardim taquaral,34,2,0,Apartamento,1697,2258,Jardim Taquaral,1268
Rua Maragojipe,vila antonina,40,2,1,Apartamento,2200,2501,Vila Antonina,1077
Avenida Professor Alfonso Bovero,pompeia,62,1,0,Apartamento,2500,3116,Pompeia,1151
Rua São Quirino,vila guilherme,36,2,1,Apartamento,1700,2243,Vila Guilherme,915
Rua Barão de Tatuí,vila buarque,35,1,0,Studio e kitnet,1250,1869,Vila Buarque,1143
Rua Virgínia,vila carrao,40,2,0,Apartamento,1500,1808,Vila Carrao,1077
Rua Togo,jardim japao,37,1,0,Studio e kitnet,1164,1273,Jardim Japão,910
Rua Danúbio Azul,jardim guanca,42,1,1,Casa,990,1092,Jardim Guanca,910
Rua Itamoji,vila pirituba,70,3,1,Casa,2700,2855,Vila Pirituba,1075
Avenida Vereador José Diniz,alto da boa vista,26,1,0,Apartamento,2800,3246,Alto da Boa Vista,1265
Rua Santa Júlia,vila carrao,35,1,1,Casa,1380,1438,Vila Carrao,1077
Rua Luís Góis,mirandopolis,36,1,0,Studio e kitnet,1600,1902,Mirandópolis,1072
Rua Aliança,jardim de lorenzo,55,2,0,Casa,1250,1303,Jardim de Lorenzo,1146
Rua Eusébio da Silva,parque maria domitila,45,1,0,Casa,850,887,Parque Maria Domitila,1075
Rua Pompeu Sobrinho,chacara inglesa,42,1,0,Casa,750,763,Chácara Inglesa,1072
Rua Eulo Maroni,vila lageado,67,3,1,Apartamento,3500,4148,Vila Lageado,993
Rua Jaguaribe,vila buarque,47,1,1,Apartamento,4000,5165,Vila Buarque,1143
Avenida Boschetti,vila medeiros,80,2,1,Casa,1604,1882,Vila Medeiros,1069
Avenida Alberto Ramos,jardim independencia,61,3,1,Apartamento,1942,2788,Jardim Independência,988
Praça Alberto Lion,cambuci,40,2,0,Apartamento,2300,2834,Cambuci,983
Rua Muniz de Sousa,aclimacao,62,2,1,Apartamento,2758,3750,Aclimação,1015
Rua Catulo da Paixão Cearense,vila da saude,85,2,2,Apartamento,4095,5438,Vila da Saúde,1072
Rua Salvador Bicudo,tucuruvi,27,2,0,Studio e kitnet,1340,1532,Tucuruvi,1069
Rua Borges Lagoa,vila clementino,13,1,0,Studio e kitnet,900,1512,Vila Clementino,1255
Rua Iquiririm,vila indiana,55,2,1,Apartamento,2200,3098,Vila Indiana,993
Rua Luís Góis,mirandopolis,58,2,0,Apartamento,2400,3193,Mirandópolis,1072
Rua Doutor Wladimir do Amaral,rolinopolis,26,1,0,Casa,650,677,Rolinópolis,1074
Rua Padre Leão Peruche,vila mazzei,45,1,1,Apartamento,2000,2467,Vila Mazzei,1069
Avenida Brigadeiro Luís Antônio,centro historico de sao paulo,42,1,1,Apartamento,2800,3350,Centro Histórico de São Paulo,1410
Rua Correggio,vila suzana,85,3,2,Apartamento,2900,4293,Vila Suzana,1074
Rua Joaquim Morais,vila santa catarina,50,2,1,Apartamento,1500,2353,Vila Santa Catarina,1024
Rua Itamiami,vila mariana,70,3,1,Apartamento,2500,3316,Vila Mariana,1072
Rua Caquito,vila sao geraldo,35,1,0,Studio e kitnet,1200,1288,Vila Sao Geraldo,1275
Avenida Guilhermina Vieira,vila miriam,50,2,1,Casa,1350,1427,Vila Miriam,943
Rua da Esperança,vila medeiros,49,2,1,Apartamento,1850,2361,Vila Medeiros,1069
Viaduto Nove de Julho,centro,51,1,0,Apartamento,1161,1845,Centro,1410
Avenida Direitos Humanos,mandaqui,24,1,0,Studio e kitnet,950,1057,Mandaqui,1154
Avenida Lins de Vasconcelos,cambuci,84,3,1,Apartamento,4000,5237,Cambuci,983
Rua Barretos,alto da mooca,70,2,1,Apartamento,4142,4999,Alto da Mooca,1253
Travessa Gaspar Brebos,vila pereira barreto,28,1,0,Casa,950,990,Vila Pereira Barreto,1146
Avenida Brigadeiro Luís Antônio,bela vista,25,1,0,Apartamento,2700,3414,Bela Vista,1410
Rua Pascal,campo belo,36,1,1,Studio e kitnet,3120,3999,Campo Belo,1147
Rua Jacaré Copaíba,jardim peri,54,2,1,Apartamento,1500,2292,Jardim Peri,1070
Avenida Lacerda Franco,cambuci,88,2,0,Apartamento,2750,3485,Cambuci,983
Rua Agostinho Cantu,butanta,63,2,1,Apartamento,3000,4328,Butantã,993
Rua Padre Lebret,jardim leonor,60,1,2,Apartamento,4000,5381,Jardim Leonor,917
Avenida Maestro Villa-lobos,vila gustavo,28,1,0,Apartamento,1500,1684,Vila Gustavo,1069
Rua Claudino Inácio Joaquim,vila mazzei,30,1,0,Studio e kitnet,1500,1708,Vila Mazzei,1069
Rua Baltazar da Silveira,vila pereira cerca,42,1,0,Casa,840,890,Vila Pereira Cerca,1146
Rua Ezequiel Freire,santana,41,1,1,Apartamento,2070,2985,Santana,915
Rua Mariano Procópio,vila monumento,89,3,1,Apartamento,2600,3490,Vila Monumento,1254
Avenida José Joaquim Seabra,jardim ivana,40,1,0,Studio e kitnet,1070,1211,Jardim Ivana,1075
Rua Heinrich Biber,vila moraes,24,1,0,Casa em condomínio,600,650,Vila Moraes,1148
Travessa Victório Gnan,jardim das laranjeiras,30,1,0,Apartamento,1000,1138,Jardim das Laranjeiras,957
Rua Rêgo Freitas,republica,28,1,0,Apartamento,2500,2960,República,1143
Largo do Arouche,republica,29,1,0,Studio e kitnet,2200,2784,República,1143
Rua Roberto Valentino de Camargo,jardim bonfiglioli,30,1,0,Casa,1600,1791,Jardim Bonfiglioli,993
Rua Cândido Vale,tatuape,27,1,0,Apartamento,2450,2845,Tatuapé,1078
Rua Deputado João Sussumu Hirata,vila andrade,43,1,1,Apartamento,1800,2855,Vila Andrade,917
Rua Vicente Fernandes Pinto,vila santo estefano,50,1,1,Casa,1880,1960,Vila Santo Estefano,1077
Rua Costa Barros,vila alpina,37,2,0,Apartamento,1660,1724,Vila Alpina,988
Rua Vinte E Nove de Outubro,vila matilde,130,2,2,Casa em condomínio,4500,4891,Vila Matilde,1153
Rua Aiamá,maranhao,22,1,0,Studio e kitnet,844,937,Maranhão,1078
Rua Luís de Melo Maia,vila pedra branca,35,1,0,Casa,1210,1262,Vila Pedra Branca,942
Rua das Palmeiras,campos eliseos,11,1,0,Studio e kitnet,2125,2506,Campos Elíseos,1143
Rua Francisco Rossano,sitio da figueira,42,1,1,Apartamento,1900,2524,Sítio da Figueira,988
Rua Santo Antônio,bela vista,31,2,0,Apartamento,2010,2613,Bela Vista,1410
Rua Santa Maria do Cambuca,vila tolstoi,23,1,0,Studio e kitnet,850,883,Vila Tolstoi,945
Rua Benjamin Pereira,parque vitoria,41,2,0,Apartamento,1500,1741,Parque Vitoria,1069
Rua São Benedito,santo amaro,95,2,1,Apartamento,2700,3540,Santo Amaro,1265
Rua Santo Egídio,santa teresinha,50,2,1,Apartamento,1600,2219,Santa Teresinha,1154
Rua Marquês de Itu,vila buarque,62,1,1,Apartamento,2600,3834,Vila Buarque,1143
Rua Natalina Roque Estefani,vila roque,40,2,1,Casa,1300,1439,Vila Roque,1070
Travessa Gaspar Brebos,vila pereira barreto,26,1,0,Casa,950,990,Vila Pereira Barreto,1146
Rua Vitoantônio Del Vecchio,parque da mooca,65,2,1,Apartamento,2230,3236,Parque da Mooca,987
Rua Doutor Clemente Jobim,jardim da gloria,28,1,0,Apartamento,2000,2477,Jardim da Glória,1254
Rua Vitalina Moura,vila roque,58,2,1,Apartamento,2620,3084,Vila Roque,1070
Rua Cruz de Malta,parada inglesa,106,2,1,Apartamento,3500,4760,Parada Inglesa,1069
Rua Rodolfo André,vila re,191,3,2,Casa,5000,5315,Vila Ré,1153
Rua Nova Esperança,vila esperanca,54,2,1,Casa,1350,1407,Vila Esperança,1275
Avenida Mazzei,vila mazzei,29,1,0,Apartamento,1070,1255,Vila Mazzei,1069
Avenida Nelson Palma Travassos,loteamento city jaragua,46,2,1,Apartamento,1000,1438,Loteamento City Jaragua,941
Rua Aurora,santa ifigenia,28,1,0,Studio e kitnet,2100,2717,Santa Ifigênia,1143
Avenida Brigadeiro Luís Antônio,jardim paulista,40,1,0,Apartamento,2750,3152,Jardim Paulista,937
Rua São Paulo,se,35,1,0,Apartamento,2000,2416,Sé,1410
"Rua Fortunato Ferraz, 320 - Vila Anastácio, São Paulo - Sp, 05093-000, Brasil",vila anastacio,50,2,1,Apartamento,2350,3148,Vila Anastácio,957
Rua Padre João,penha de franca,55,2,1,Casa,2200,2293,Penha de França,1275
Rua Domingos Maza,vila boacava,30,1,0,Casa em condomínio,1000,1042,Vila Boacava,957
Rua Nanuque,vila leopoldina,80,3,1,Casa,3000,3207,Vila Leopoldina,909
Rua Getúlio Soares da Rocha,jardim das acacias,38,1,0,Apartamento,2250,2750,Jardim das Acácias,904
Rua Capitão Ferraiuolo,vila invernada,36,2,1,Apartamento,1900,2134,Vila Invernada,987
Rua Correia da Câmara,vila tolstoi,50,2,0,Apartamento,1700,2222,Vila Tolstoi,945
Rua Paulo Martinez,jardim seckler,29,1,0,Apartamento,965,1003,Jardim Seckler,1025
Rua dos Andradas,centro historico de sao paulo,43,1,0,Apartamento,1500,1820,Centro Histórico de São Paulo,1410
Rua Baronesa Itu,santa cecilia,36,1,0,Studio e kitnet,3200,3858,Santa Cecília,938
Rua Professor Miguel Russiano,vila aricanduva,160,2,2,Casa em condomínio,7500,7922,Vila Aricanduva,1077
Rua Doutora Neyde Apparecida Sollitto,vila clementino,18,1,0,Studio e kitnet,1161,1206,Vila Clementino,1255
Rua Doutor João Clímaco Pereira,itaim bibi,38,1,1,Studio e kitnet,3750,5048,Itaim Bibi,1256
Rua Marquês de Valença,alto da mooca,77,3,2,Apartamento,3600,4555,Alto da Mooca,1253
Rua Napoleão de Barros,vila clementino,72,2,1,Apartamento,2640,3562,Vila Clementino,1255
Rua Vicenzo Paciullo,jardim las vegas,80,3,2,Apartamento,1895,2761,Jardim Las Vegas,1020
Rua Tenente Mauro de Miranda,jabaquara,72,3,0,Apartamento,2150,2628,Jabaquara,1073
Rua das Flechas,vila santa catarina,86,2,2,Apartamento,4150,5543,Vila Santa Catarina,1024
Rua Major Freire,vila monte alegre,63,2,1,Apartamento,1734,2807,Vila Monte Alegre,1072
Rua Duílio,agua branca,92,3,1,Apartamento,5000,6494,Água Branca,957
Rua Santo Amaro,bela vista,40,1,1,Apartamento,2700,3524,Bela Vista,1410
Rua Itza,jardim modelo,57,2,1,Apartamento,3500,4135,Jardim Modelo,942
Rua Mário de Andrade,barra funda,43,1,0,Apartamento,3715,4259,Barra Funda,1143
Rua Doutor Ângelo Vita,tatuape,25,1,0,Studio e kitnet,2200,2534,Tatuapé,1078
Avenida São João,santa cecilia,42,1,1,Apartamento,3000,4071,Santa Cecília,938
Rua Tavannes,lauzane paulista,53,2,1,Apartamento,1180,1645,Lauzane Paulista,1070
Avenida Imperatriz Leopoldina,vila leopoldina,71,2,1,Apartamento,2300,3437,Vila Leopoldina,909
Rua Custódio de Mendonça,santana,46,2,0,Apartamento,3500,3785,Santana,915
Avenida Ministro Petrônio Portela,vila amelia,53,2,1,Apartamento,1450,2006,Vila Amélia,1070
Rua Domingos Maza,vila boacava,28,1,0,Casa em condomínio,950,990,Vila Boacava,957
Rua Avanhandava,consolacao,30,1,0,Studio e kitnet,1200,1664,Consolação,1067
Avenida Bosque da Saúde,vila da saude,19,1,0,Apartamento,1300,1520,Vila da Saúde,1072
Avenida Nossa Senhora da Assunção,vila butanta,24,1,0,Casa,1100,1147,Vila Butantã,993
Avenida Washington Luís,santo amaro,60,2,1,Apartamento,1837,2555,Santo Amaro,1265
Rua Vinte E Quatro de Dezembro,vila dom pedro ii,55,2,0,Apartamento,3200,3843,Vila Dom Pedro Ii,1069
Rua Iperoig,perdizes,68,2,1,Apartamento,3300,4351,Perdizes,1151
Avenida Duque de Caxias,campos eliseos,60,1,0,Apartamento,1800,2514,Campos Elíseos,1143
Rua Professor Arnaldo João Semeraro,jardim santa emilia,63,2,1,Apartamento,1600,2322,Jardim Santa Emília,923
Rua Anny,sao joao climaco,50,2,1,Apartamento,2400,2923,São João Climaco,1148
Rua Florinda Barbosa,vila germinal,33,1,0,Casa,1200,1294,Vila Germinal,942
Avenida Engenheiro Heitor Antônio Eiras Garcia,jardim esmeralda,40,2,0,Apartamento,1500,1958,Jardim Esmeralda,993
Rua Pascal,campo belo,38,1,0,Studio e kitnet,3200,3882,Campo Belo,1147
Rua Doutor Elias Chaves,campos eliseos,30,1,0,Apartamento,1155,1449,Campos Elíseos,1143
Rua Tabatinguera,se,22,1,1,Studio e kitnet,2200,2875,Sé,1410
Rua Itaiteva,jardim ampliacao,50,2,1,Apartamento,2395,3060,Jardim Ampliação,917
Clodomiro de Oliveira,vila andrade,50,2,1,Apartamento,1550,2060,Vila Andrade,917
Rua do Lavapés,cambuci,37,1,0,Apartamento,1500,1898,Cambuci,983
Rua Vieira de Morais,campo belo,57,1,1,Apartamento,4000,5198,Campo Belo,1147
Rua Coronel Bento Pires,mooca,50,1,1,Apartamento,1500,2408,Mooca,934
Avenida Portugal,vila cordeiro,170,3,3,Casa,8500,9348,Vila Cordeiro,1147
Rua Coronel Mursa,bras,20,1,0,Studio e kitnet,2000,2257,Brás,934
Rua Oliveira Catrambi,jardim vila formosa,50,2,0,Apartamento,6000,6232,Jardim Vila Formosa,986
Rua Palene,vila guilherme,127,3,2,Casa,3750,3917,Vila Guilherme,915
Rua Pinto da Luz,vila ivone,55,2,1,Apartamento,2250,2687,Vila Ivone,1025
Rua Gandavo,vila clementino,58,2,0,Apartamento,2500,3822,Vila Clementino,1255
Rua Professor Arnaldo João Semeraro,jardim santa emilia,41,2,1,Apartamento,2408,2836,Jardim Santa Emília,923
Rua David Eid,vila do castelo,65,3,1,Apartamento,2220,2988,Vila do Castelo,1019
Rua Coronel Euclides Machado,jardim das gracas,39,2,1,Apartamento,1700,2066,Jardim das Gracas,1259
Rua Doutor Bento Teobaldo Ferraz,varzea da barra funda,41,2,1,Apartamento,2650,3168,Várzea da Barra Funda,1151
Rua Oliveira Catrambi,jardim vila formosa,50,2,1,Apartamento,6000,6232,Jardim Vila Formosa,986
Rua Caraíbas,pompeia,142,3,2,Apartamento,7500,10210,Pompeia,1151
Rua Cajaíba,vila pompeia,72,2,2,Apartamento,6700,8458,Vila Pompéia,1151
Alameda Santos,jardim paulista,62,2,1,Apartamento,5770,7010,Jardim Paulista,937
Avenida Duque de Caxias,campos eliseos,29,1,0,Apartamento,1100,1592,Campos Elíseos,1143
Rua Aurora,santa efigenia,28,1,0,Apartamento,1500,1917,Santa Efigênia,1143
Rua Mourato Coelho,pinheiros,65,2,1,Apartamento,2700,4336,Pinheiros,1257
Avenida Deputado Emílio Carlos,limao,60,1,0,Casa,1550,1674,Limão,1259
Rua Afonso Braz,vila nova conceicao,47,1,1,Apartamento,3900,5476,Vila Nova Conceição,1256
Peixoto Gomide,jardim paulista,65,1,1,Apartamento,1600,3062,Jardim Paulista,937
Rua do Paraíso,paraiso,43,1,1,Apartamento,3360,4450,Paraíso,1410
Rua Doutor Luiz Migliano,jardim cabore,50,2,1,Apartamento,1843,2494,Jardim Caboré,1074
Rua Brigadeiro Galvão,barra funda,67,2,1,Apartamento,5000,5811,Barra Funda,1143
Avenida dos Carinás,indianopolis,26,1,0,Studio e kitnet,3250,3945,Indianópolis,1255
Avenida Miruna,indianopolis,42,1,1,Apartamento,2540,3788,Indianópolis,1255
Rua Ferreira de Araújo,pinheiros,80,2,1,Apartamento,8000,9541,Pinheiros,1257
Rudge,bom retiro,42,2,0,Apartamento,1700,2216,Bom Retiro,1246
Rua Canindezinho,jardim das vertentes,20,1,0,Studio e kitnet,970,1008,Jardim das Vertentes,1074
Rua Teixeira da Silva,paraiso,109,2,1,Apartamento,4000,5920,Paraíso,1410
Rua Caetanópolis,jaguare,50,2,0,Apartamento,1940,2555,Jaguaré,907
Rua Enótria,vila mazzei,32,1,0,Apartamento,1600,2092,Vila Mazzei,1069
Rua Domingos Paiva,bras,50,1,1,Apartamento,2705,3579,Brás,934
Rua Soldado José Fernandes da Silva,jardim japao,63,3,1,Apartamento,3200,4023,Jardim Japão,910
Rua Alves Guimarães,pinheiros,38,1,1,Studio e kitnet,4690,5920,Pinheiros,1257
Avenida Rebouças,pinheiros,33,1,1,Studio e kitnet,5500,6704,Pinheiros,1257
Rua Antônio da Silva Lobo Júnior,cidade domitila,40,1,0,Casa,850,887,Cidade Domitila,1024
Rua Santo Antônio,bela vista,42,1,1,Apartamento,2000,2731,Bela Vista,1410
Rua Major Maragliano,vila mariana,15,1,0,Studio e kitnet,2973,4105,Vila Mariana,1072
Rua Alba,vila santa catarina,81,2,1,Apartamento,4600,5722,Vila Santa Catarina,1024
Rua Ministro Nélson Hungria,vila tramontano,50,1,1,Apartamento,2660,3712,Vila Tramontano,917
Rua Bartira,perdizes,27,1,0,Studio e kitnet,2820,3404,Perdizes,1151
Rua Doutor Albuquerque Lins,santa cecilia,32,1,1,Apartamento,2800,3903,Santa Cecilia,938
Rua Humberto I,vila mariana,16,1,0,Studio e kitnet,2400,3067,Vila Mariana,1072
Rua Antenas,vila california,41,2,0,Apartamento,1742,1960,Vila Califórnia,988
Rua Desembargador Aragão,vila mariana,22,1,0,Studio e kitnet,2836,3526,Vila Mariana,1072
Rua Cotoxó,perdizes,98,3,2,Apartamento,3900,5371,Perdizes,1151
Rua Ferreira de Araújo,pinheiros,70,2,1,Apartamento,7800,9284,Pinheiros,1257
Rua Araguari,vila uberabinha,48,1,1,Apartamento,3700,5569,Vila Uberabinha,1256
Rua Apiacás,pompeia,26,1,1,Apartamento,2800,3419,Pompeia,1151
Rua Doutor Diogo de Faria,vila clementino,24,1,0,Studio e kitnet,2750,3356,Vila Clementino,1255
Rua José Antônio Coelho,vila mariana,50,2,0,Apartamento,2639,3148,Vila Mariana,1072
Rua Tiangua,vila mascote,56,2,1,Apartamento,2142,3230,Vila Mascote,1147
Rua Paulistania,sumarezinho,98,3,1,Apartamento,4100,5710,Sumarezinho,1257
Rua Bento Freitas,republica,23,1,0,Studio e kitnet,2700,3153,República,1143
Rua São Vicente de Paulo,santa cecilia,40,1,1,Studio e kitnet,2000,2777,Santa Cecilia,938
Rua Monte Alegre,perdizes,92,2,1,Apartamento,3935,5750,Perdizes,1151
Rua Batataes,jardim paulista,55,2,0,Apartamento,3540,6176,Jardim Paulista,937
"R. das Nhandirobas - Jardim Oriental, São Paulo - Sp, Brasil",jardim oriental,14,1,0,Apartamento,1500,1520,Jardim Oriental,1073
Largo Padre Péricles,barra funda,64,1,0,Apartamento,1800,2259,Barra Funda,1143
Rua Correia de Lemos,chacara inglesa,80,2,1,Apartamento,2900,4292,Chácara Inglesa,1072
Rua Sargento Osvaldo,vila zilda,52,2,1,Apartamento,2100,2888,Vila Zilda,1069
Rua do Símbolo,jardim ampliacao,75,3,1,Apartamento,2550,3424,Jardim Ampliacao,917
Rua Peixoto Gomide,jardim paulista,72,2,1,Apartamento,6090,7570,Jardim Paulista,937
Rua do Rocio,vila olimpia,112,3,2,Apartamento,9500,12020,Vila Olímpia,1256
Rua Almir Rodrigues,vila continental,55,1,0,Casa,1500,1584,Vila Continental,941
